id,title,subtitle,body,url,journal,important
000153b8deac779912ca4e06aa304d98e56b56b9e05c7aad8f0916ce1a32747b,Biden vows to fight on in first speech after Trump debate,,"US President Joe Biden has hit back at criticism over his age, telling supporters in a fiery speech that he will win re-election in November after a poor debate performance fuelled concern about his candidacy. ""I know I'm not a young man, to state the obvious,"" he told a rally in the battleground state of North Carolina on Friday, one day after he struggled in the televised showdown with his Republican rival Donald Trump. ""I don’t walk as easy as I used to... I don’t debate as well as I used to,"" he acknowledged. ""But I know what I do know, I know how to tell the truth [and] I know how to do this job."" Mr Biden, 81, said he believed with his ""heart and soul"" that he could serve another term, as the cheering crowd in Raleigh chanted “four more years”. Trump, meanwhile, held a rally of his own in Virginia just hours later, where he hailed a ""big victory"" in the debate, which CNN said was viewed by 48 million people on television and millions more online. ""Joe Biden's problem is not his age,"" the 78-year-old Trump said. ""It's his competence. He's grossly incompetent."" The former president said he did not believe speculation that Mr Biden would drop out of the race, saying he ""does better in polls"" than other Democrats, including California Governor Gavin Newsom and Vice-President Kamala Harris.",https://www.bbc.com/news/articles/cne4z2p7nl4o,bbc,1
0002c485c37d46b5802ce3aab54c3b9359ca3ab59a8683078fbf311f38f8fb87,"UK House Prices Perk Up, But Stresses Remain",Price expectations are starting to rise — but so are signs of pressure on vulnerable borrowers.,"UK housing perks up, but signs of stress remain A quick scheduling note: apologies, I won’t be here on Monday again, but your next Money Distilled will arrive bright-eyed and bushy-tailed on Tuesday.  In my rush to warn you all yesterday to shield your pension from political risk, what with all this electioneering business, I neglected the most important subject of them all: UK house prices.  The latest Royal Institution of Chartered Surveyors (RICS) update was as close to upbeat as we’ve got in recent house price data. Estate agents and surveyors now think that a recovery is firmly taking hold.  As you can see from our regularly posted chart below, estate agents’ net expectations for the next three months tend to be decent predictors of what actual house prices — as measured by Nationwide — will do.",https://bloomberg.com/news/newsletters/2024-02-09/uk-house-prices-perk-up-but-stresses-remain?srnd=economics-v2,bloomberg,0
000153b8deac779912ca4e06aa304d98e56b56b9e05c7aad8f0916ce1a32747b,Biden vows to fight on in first speech after Trump debate,,"US President Joe Biden has hit back at criticism over his age, telling supporters in a fiery speech that he will win re-election in November after a poor debate performance fuelled concern about his candidacy. ""I know I'm not a young man, to state the obvious,"" he told a rally in the battleground state of North Carolina on Friday, one day after he struggled in the televised showdown with his Republican rival Donald Trump. ""I don’t walk as easy as I used to... I don’t debate as well as I used to,"" he acknowledged. ""But I know what I do know, I know how to tell the truth [and] I know how to do this job."" Mr Biden, 81, said he believed with his ""heart and soul"" that he could serve another term, as the cheering crowd in Raleigh chanted “four more years”. Trump, meanwhile, held a rally of his own in Virginia just hours later, where he hailed a ""big victory"" in the debate, which CNN said was viewed by 48 million people on television and millions more online. ""Joe Biden's problem is not his age,"" the 78-year-old Trump said. ""It's his competence. He's grossly incompetent."" The former president said he did not believe speculation that Mr Biden would drop out of the race, saying he ""does better in polls"" than other Democrats, including California Governor Gavin Newsom and Vice-President Kamala Harris.",https://www.bbc.com/news/articles/cne4z2p7nl4o,bbc,1
0002c485c37d46b5802ce3aab54c3b9359ca3ab59a8683078fbf311f38f8fb87,"UK House Prices Perk Up, But Stresses Remain",Price expectations are starting to rise — but so are signs of pressure on vulnerable borrowers.,"UK housing perks up, but signs of stress remain A quick scheduling note: apologies, I won’t be here on Monday again, but your next Money Distilled will arrive bright-eyed and bushy-tailed on Tuesday.  In my rush to warn you all yesterday to shield your pension from political risk, what with all this electioneering business, I neglected the most important subject of them all: UK house prices.  The latest Royal Institution of Chartered Surveyors (RICS) update was as close to upbeat as we’ve got in recent house price data. Estate agents and surveyors now think that a recovery is firmly taking hold.  As you can see from our regularly posted chart below, estate agents’ net expectations for the next three months tend to be decent predictors of what actual house prices — as measured by Nationwide — will do.",https://bloomberg.com/news/newsletters/2024-02-09/uk-house-prices-perk-up-but-stresses-remain?srnd=economics-v2,bloomberg,0
000153b8deac779912ca4e06aa304d98e56b56b9e05c7aad8f0916ce1a32747b,Biden vows to fight on in first speech after Trump debate,,"US President Joe Biden has hit back at criticism over his age, telling supporters in a fiery speech that he will win re-election in November after a poor debate performance fuelled concern about his candidacy. ""I know I'm not a young man, to state the obvious,"" he told a rally in the battleground state of North Carolina on Friday, one day after he struggled in the televised showdown with his Republican rival Donald Trump. ""I don’t walk as easy as I used to... I don’t debate as well as I used to,"" he acknowledged. ""But I know what I do know, I know how to tell the truth [and] I know how to do this job."" Mr Biden, 81, said he believed with his ""heart and soul"" that he could serve another term, as the cheering crowd in Raleigh chanted “four more years”. Trump, meanwhile, held a rally of his own in Virginia just hours later, where he hailed a ""big victory"" in the debate, which CNN said was viewed by 48 million people on television and millions more online. ""Joe Biden's problem is not his age,"" the 78-year-old Trump said. ""It's his competence. He's grossly incompetent."" The former president said he did not believe speculation that Mr Biden would drop out of the race, saying he ""does better in polls"" than other Democrats, including California Governor Gavin Newsom and Vice-President Kamala Harris.",https://www.bbc.com/news/articles/cne4z2p7nl4o,bbc,1
0002c485c37d46b5802ce3aab54c3b9359ca3ab59a8683078fbf311f38f8fb87,"UK House Prices Perk Up, But Stresses Remain",Price expectations are starting to rise — but so are signs of pressure on vulnerable borrowers.,"UK housing perks up, but signs of stress remain A quick scheduling note: apologies, I won’t be here on Monday again, but your next Money Distilled will arrive bright-eyed and bushy-tailed on Tuesday.  In my rush to warn you all yesterday to shield your pension from political risk, what with all this electioneering business, I neglected the most important subject of them all: UK house prices.  The latest Royal Institution of Chartered Surveyors (RICS) update was as close to upbeat as we’ve got in recent house price data. Estate agents and surveyors now think that a recovery is firmly taking hold.  As you can see from our regularly posted chart below, estate agents’ net expectations for the next three months tend to be decent predictors of what actual house prices — as measured by Nationwide — will do.",https://bloomberg.com/news/newsletters/2024-02-09/uk-house-prices-perk-up-but-stresses-remain?srnd=economics-v2,bloomberg,0
000153b8deac779912ca4e06aa304d98e56b56b9e05c7aad8f0916ce1a32747b,Biden vows to fight on in first speech after Trump debate,,"US President Joe Biden has hit back at criticism over his age, telling supporters in a fiery speech that he will win re-election in November after a poor debate performance fuelled concern about his candidacy. ""I know I'm not a young man, to state the obvious,"" he told a rally in the battleground state of North Carolina on Friday, one day after he struggled in the televised showdown with his Republican rival Donald Trump. ""I don’t walk as easy as I used to... I don’t debate as well as I used to,"" he acknowledged. ""But I know what I do know, I know how to tell the truth [and] I know how to do this job."" Mr Biden, 81, said he believed with his ""heart and soul"" that he could serve another term, as the cheering crowd in Raleigh chanted “four more years”. Trump, meanwhile, held a rally of his own in Virginia just hours later, where he hailed a ""big victory"" in the debate, which CNN said was viewed by 48 million people on television and millions more online. ""Joe Biden's problem is not his age,"" the 78-year-old Trump said. ""It's his competence. He's grossly incompetent."" The former president said he did not believe speculation that Mr Biden would drop out of the race, saying he ""does better in polls"" than other Democrats, including California Governor Gavin Newsom and Vice-President Kamala Harris.",https://www.bbc.com/news/articles/cne4z2p7nl4o,bbc,1
0002c485c37d46b5802ce3aab54c3b9359ca3ab59a8683078fbf311f38f8fb87,"UK House Prices Perk Up, But Stresses Remain",Price expectations are starting to rise — but so are signs of pressure on vulnerable borrowers.,"UK housing perks up, but signs of stress remain A quick scheduling note: apologies, I won’t be here on Monday again, but your next Money Distilled will arrive bright-eyed and bushy-tailed on Tuesday.  In my rush to warn you all yesterday to shield your pension from political risk, what with all this electioneering business, I neglected the most important subject of them all: UK house prices.  The latest Royal Institution of Chartered Surveyors (RICS) update was as close to upbeat as we’ve got in recent house price data. Estate agents and surveyors now think that a recovery is firmly taking hold.  As you can see from our regularly posted chart below, estate agents’ net expectations for the next three months tend to be decent predictors of what actual house prices — as measured by Nationwide — will do.",https://bloomberg.com/news/newsletters/2024-02-09/uk-house-prices-perk-up-but-stresses-remain?srnd=economics-v2,bloomberg,0
000153b8deac779912ca4e06aa304d98e56b56b9e05c7aad8f0916ce1a32747b,Biden vows to fight on in first speech after Trump debate,,"US President Joe Biden has hit back at criticism over his age, telling supporters in a fiery speech that he will win re-election in November after a poor debate performance fuelled concern about his candidacy. ""I know I'm not a young man, to state the obvious,"" he told a rally in the battleground state of North Carolina on Friday, one day after he struggled in the televised showdown with his Republican rival Donald Trump. ""I don’t walk as easy as I used to... I don’t debate as well as I used to,"" he acknowledged. ""But I know what I do know, I know how to tell the truth [and] I know how to do this job."" Mr Biden, 81, said he believed with his ""heart and soul"" that he could serve another term, as the cheering crowd in Raleigh chanted “four more years”. Trump, meanwhile, held a rally of his own in Virginia just hours later, where he hailed a ""big victory"" in the debate, which CNN said was viewed by 48 million people on television and millions more online. ""Joe Biden's problem is not his age,"" the 78-year-old Trump said. ""It's his competence. He's grossly incompetent."" The former president said he did not believe speculation that Mr Biden would drop out of the race, saying he ""does better in polls"" than other Democrats, including California Governor Gavin Newsom and Vice-President Kamala Harris.",https://www.bbc.com/news/articles/cne4z2p7nl4o,bbc,1
0002c485c37d46b5802ce3aab54c3b9359ca3ab59a8683078fbf311f38f8fb87,"UK House Prices Perk Up, But Stresses Remain",Price expectations are starting to rise — but so are signs of pressure on vulnerable borrowers.,"UK housing perks up, but signs of stress remain A quick scheduling note: apologies, I won’t be here on Monday again, but your next Money Distilled will arrive bright-eyed and bushy-tailed on Tuesday.  In my rush to warn you all yesterday to shield your pension from political risk, what with all this electioneering business, I neglected the most important subject of them all: UK house prices.  The latest Royal Institution of Chartered Surveyors (RICS) update was as close to upbeat as we’ve got in recent house price data. Estate agents and surveyors now think that a recovery is firmly taking hold.  As you can see from our regularly posted chart below, estate agents’ net expectations for the next three months tend to be decent predictors of what actual house prices — as measured by Nationwide — will do.",https://bloomberg.com/news/newsletters/2024-02-09/uk-house-prices-perk-up-but-stresses-remain?srnd=economics-v2,bloomberg,0
